"","Plot","Quad","x","y","Tubbs.barc.dNBR17"
"352","PPW1540","A2",527174,4269278,116
"353","PPW1540","A3",527174.000000001,4269298,114
"354","PPW1540","A4",527174,4269318,122
"355","PPW1540","A5",527174.000000001,4269338,129
"356","PPW1540","B1",527194,4269258,115
"357","PPW1540","B2",527194,4269278,119
"358","PPW1540","B3",527194,4269298,118
"359","PPW1540","B4",527193.999999999,4269318,122
"360","PPW1540","B5",527194.000000001,4269338,130
"361","PPW1540","C1",527214,4269258,114
"362","PPW1540","C2",527214,4269278,119
"363","PPW1540","C3",527214.000000001,4269298,125
"364","PPW1540","C4",527213.999999999,4269318,128
"365","PPW1540","C5",527213.999999999,4269338,142
"366","PPW1540","D1",527234.000000001,4269258,115
"367","PPW1540","D2",527234,4269278,126
"368","PPW1540","D3",527234,4269298,137
"369","PPW1540","D4",527234,4269318,136
"370","PPW1540","D5",527234,4269338,145
"371","PPW1540","E1",527254,4269258,112
"372","PPW1540","E2",527253.999999999,4269278,112
"373","PPW1540","E3",527254.000000001,4269298,125
"374","PPW1540","E4",527253.999999999,4269318,130
"375","PPW1540","E5",527254,4269338,131
"376","PPW1544","A1",522836.999999999,4272850,55
"377","PPW1544","A2",522837,4272870,46
"378","PPW1544","A3",522837,4272890,59
"379","PPW1544","A4",522837,4272910,68
"380","PPW1544","A5",522837,4272930,66
"381","PPW1544","B1",522857,4272850,55
"382","PPW1544","B2",522856.999999999,4272870,60
"383","PPW1544","B3",522856.999999998,4272890,72
"384","PPW1544","B4",522857,4272910,65
"385","PPW1544","B5",522857.000000001,4272930,58
"386","PPW1544","C1",522877.000000001,4272850,67
"387","PPW1544","C2",522877,4272870,73
"388","PPW1544","C3",522877.000000001,4272890,84
"389","PPW1544","C4",522877,4272910,77
"390","PPW1544","C5",522876.999999999,4272930,74
"391","PPW1544","D1",522897.000000001,4272850,78
"392","PPW1544","D2",522897,4272870,76
"393","PPW1544","D3",522896.999999999,4272890,79
"394","PPW1544","D4",522896.999999999,4272910,73
"395","PPW1544","D5",522897,4272930,78
"396","PPW1544","E1",522916.999999999,4272850,67
"397","PPW1544","E2",522917.000000001,4272870,43
"398","PPW1544","E3",522917,4272890,61
"399","PPW1544","E4",522916.999999999,4272910,63
"400","PPW1544","E5",522917.000000001,4272930,73
"401","PPW1549","A1",526470.000000001,4270414,112
"402","PPW1549","A2",526469.999999999,4270434,111
"403","PPW1549","A3",526470,4270454,116
"404","PPW1549","A4",526470.000000001,4270474,120
"405","PPW1549","A5",526469.999999999,4270494,118
"406","PPW1549","B1",526490,4270414,121
"407","PPW1549","B2",526490.000000001,4270434,117
"408","PPW1549","B3",526490.000000001,4270454,117
"409","PPW1549","B4",526490.000000001,4270474,123
"410","PPW1549","B5",526490.000000001,4270494,120
"411","PPW1549","C1",526509.999999999,4270414,125
"412","PPW1549","C2",526510,4270434,121
"413","PPW1549","C3",526510,4270454,115
"414","PPW1549","C4",526509.999999999,4270474,120
"415","PPW1549","C5",526510,4270494,108
"416","PPW1549","D1",526529.999999999,4270414,120
"417","PPW1549","D2",526530,4270434,123
"418","PPW1549","D3",526530,4270454,116
"419","PPW1549","D4",526530.000000001,4270474,113
"420","PPW1549","D5",526530,4270494,109
"421","PPW1549","E1",526550,4270414,125
"422","PPW1549","E2",526549.999999999,4270434,127
"423","PPW1549","E3",526550.000000001,4270454,123
"424","PPW1549","E4",526550.000000001,4270474,114
"425","PPW1549","E5",526550,4270494,114
"426","PPW2152","A1",527334.999999999,4269656,161
"427","PPW2152","A2",527334.999999999,4269676,168
"428","PPW2152","A3",527335,4269696,159
"429","PPW2152","A4",527334.999999999,4269716,121
"430","PPW2152","A5",527335,4269736,92
"431","PPW2152","B1",527355,4269656,174
"432","PPW2152","B2",527354.999999999,4269676,179
"433","PPW2152","B3",527354.999999999,4269696,176
"434","PPW2152","B4",527355,4269716,147
"435","PPW2152","B5",527355.000000001,4269736,118
"436","PPW2152","C1",527375,4269656,174
"437","PPW2152","C2",527374.999999999,4269676,169
"438","PPW2152","C3",527375.000000001,4269696,175
"439","PPW2152","C4",527375,4269716,155
"440","PPW2152","C5",527374.999999999,4269736,142
"441","PPW2152","D1",527395,4269656,175
"442","PPW2152","D2",527395.000000001,4269676,168
"443","PPW2152","D3",527395,4269696,175
"444","PPW2152","D4",527395,4269716,168
"445","PPW2152","D5",527395,4269736,151
"446","PPW2152","E1",527415,4269656,173
"447","PPW2152","E2",527415.000000001,4269676,180
"448","PPW2152","E3",527415.000000001,4269696,184
"449","PPW2152","E4",527415,4269716,178
"450","PPW2152","E5",527415.000000001,4269736,156
