"","Plot","Quad","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"177","PPW1522","A2",-2275154.75103429,2049036.43073509,110,68,1,0,-15,1
"178","PPW1522","A3",-2275149.0873733,2049055.82297762,110,67,1,54,30,1
"179","PPW1522","A4",-2275143.42371226,2049075.21521939,118,71,2,54,30,1
"180","PPW1522","A5",-2275137.76005119,2049094.60746041,118,71,2,83,52,1
"181","PPW1522","B1",-2275141.39478887,2049011.4810725,103,62,1,41,19,1
"182","PPW1522","B2",-2275135.73112732,2049030.87331535,110,68,1,28,8,1
"183","PPW1522","B3",-2275130.06746572,2049050.26555744,110,67,1,54,30,1
"184","PPW1522","B4",-2275124.40380408,2049069.65779877,64,23,1,54,30,1
"185","PPW1522","B5",-2275118.7401424,2049089.05003935,96,46,1,46,19,1
"186","PPW1522","C1",-2275122.37488345,2049005.92365077,106,59,1,38,17,1
"187","PPW1522","C2",-2275116.7112213,2049025.31589318,51,15,1,33,12,1
"188","PPW1522","C3",-2275111.0475591,2049044.70813483,51,15,1,33,12,1
"189","PPW1522","C4",-2275105.38389686,2049064.10037572,64,23,1,-14,-26,1
"190","PPW1522","C5",-2275099.72023458,2049083.49261585,96,46,1,46,19,1
"191","PPW1522","D1",-2275103.354979,2049000.36622661,106,59,1,38,17,1
"192","PPW1522","D2",-2275097.69131624,2049019.75846857,51,15,1,38,17,1
"193","PPW1522","D3",-2275092.02765344,2049039.15070978,-191,-106,1,-101,-79,1
"194","PPW1522","D4",-2275086.3639906,2049058.54295024,-148,-92,1,-101,-79,1
"195","PPW1522","D5",-2275080.70032771,2049077.93518993,-46,-47,1,-101,-79,1
"196","PPW1522","E1",-2275084.33507551,2048994.80880001,16,-9,1,-218,-175,5
"197","PPW1522","E2",-2275078.67141215,2049014.20104154,16,-9,1,-218,-175,5
"198","PPW1522","E3",-2275073.00774874,2049033.59328231,-191,-106,1,-101,-79,1
"199","PPW1522","E4",-2275067.3440853,2049052.98552231,-148,-92,1,-101,-79,1
"200","PPW1522","E5",-2275061.68042181,2049072.37776157,-92,-68,1,34,8,1
"201","PPW1524","A1",-2275689.21814899,2051747.70590863,74,39,1,-9,-23,1
"202","PPW1524","A2",-2275683.55452385,2051767.09808603,74,39,1,28,9,1
"203","PPW1524","A3",-2275677.89089869,2051786.49026266,70,35,1,38,17,1
"204","PPW1524","A4",-2275672.22727351,2051805.88243851,98,57,1,38,17,1
"205","PPW1524","A5",-2275666.56364831,2051825.27461359,98,57,1,41,19,1
"206","PPW1524","B1",-2275670.19810555,2051742.148593,82,47,1,-9,-23,1
"207","PPW1524","B2",-2275664.53447978,2051761.54076997,80,44,1,28,9,1
"208","PPW1524","B3",-2275658.87085399,2051780.93294617,99,60,1,18,0,1
"209","PPW1524","B4",-2275653.20722818,2051800.32512159,99,60,1,18,0,1
"210","PPW1524","B5",-2275647.54360235,2051819.71729622,100,54,1,5,-11,1
"211","PPW1524","C1",-2275651.17806307,2051736.59127492,103,62,1,77,49,1
"212","PPW1524","C2",-2275645.51443667,2051755.98345145,80,44,1,69,43,1
"213","PPW1524","C3",-2275639.85081025,2051775.37562721,99,60,1,69,43,1
"214","PPW1524","C4",-2275634.18718381,2051794.7678022,84,41,1,18,0,1
"215","PPW1524","C5",-2275628.52355734,2051814.1599764,71,26,1,-106,-90,1
"216","PPW1524","D1",-2275632.15802154,2051731.03395436,129,74,2,12,-5,1
"217","PPW1524","D2",-2275626.49439451,2051750.42613047,139,82,2,-10,-23,1
"218","PPW1524","D3",-2275620.83076746,2051769.8183058,139,82,2,-10,-23,1
"219","PPW1524","D4",-2275615.16714039,2051789.21048035,84,41,1,-76,-72,1
"220","PPW1524","D5",-2275609.5035133,2051808.60265411,71,26,1,-76,-72,1
"221","PPW1524","E1",-2275613.13798097,2051725.47663136,129,74,2,12,-5,1
"222","PPW1524","E2",-2275607.47435331,2051744.86880703,129,74,2,12,-5,1
"223","PPW1524","E3",-2275601.81072563,2051764.26098192,-124,-76,1,-301,-214,5
"224","PPW1524","E4",-2275596.14709793,2051783.65315604,-57,-48,1,-330,-220,5
"225","PPW1524","E5",-2275590.48347021,2051803.04532937,-57,-48,1,-330,-220,5
"226","PPW1525","A1",-2273493.596987,2049850.70858734,118,56,1,7,-9,0
"227","PPW1525","A2",-2273487.93328135,2049870.10075169,71,33,1,22,3,0
"228","PPW1525","A3",-2273482.26957566,2049889.49291526,110,60,1,22,3,0
"229","PPW1525","A4",-2273476.60586991,2049908.88507807,110,60,1,42,20,0
"230","PPW1525","A5",-2273470.94216411,2049928.2772401,106,52,1,9,-8,0
"231","PPW1525","B1",-2273474.57710942,2049845.1509719,222,126,2,7,-9,0
"232","PPW1525","B2",-2273468.91340316,2049864.54313579,90,43,1,26,6,0
"233","PPW1525","B3",-2273463.24969686,2049883.9352989,90,43,1,26,6,0
"234","PPW1525","B4",-2273457.5859905,2049903.32746125,106,54,1,-10,-23,0
"235","PPW1525","B5",-2273451.92228409,2049922.71962282,106,52,1,9,-8,0
"236","PPW1525","C1",-2273455.55723282,2049839.59335401,222,126,2,68,36,0
"237","PPW1525","C2",-2273449.89352596,2049858.98551744,90,43,1,68,36,0
"238","PPW1525","C3",-2273444.22981904,2049878.3776801,139,76,2,26,6,0
"239","PPW1525","C4",-2273438.56611207,2049897.76984199,75,32,1,22,3,0
"240","PPW1525","C5",-2273432.90240505,2049917.16200311,116,62,1,22,3,0
"241","PPW1525","D1",-2273436.5373572,2049834.03573368,398,245,2,132,78,0
"242","PPW1525","D2",-2273430.87364972,2049853.42789666,398,245,2,132,78,0
"243","PPW1525","D3",-2273425.20994219,2049872.82005886,139,76,2,47,20,0
