,Plot,Species,PercScorch,ScorchUnderEstimate,Notes,SA.Basal.Area,SA.Count,TR.Basal.Area,TR.Count,Year,
237,PPW1347,QUEKEL,0,,,0,0,359.6809429,1,2014,
238,PPW1347,UMBCAL,0,,,76.16689287,57,255.4542084,25,2014,
239,PPW1347,UNKN47,0,,,12.40960514,5,0,0,2014,
240,PPW1348,AMOCAL,NA,,,794.4167334,71,7.93252145,6,2014,
241,PPW1348,HETARB,90,,,29.05933935,5,207.8160399,7,2014,
242,PPW1348,PSEMEN,10,,,16.22978181,9,2065.683014,18,2014,
243,PPW1348,QUEAGR,10,,,1.327322896,1,518.8811506,3,2014,
244,PPW1348,QUEGAR,20,,,0,0,7432.156061,32,2014,
245,PPW1348,QUEKEL,50,,,0.166190251,1,1299.637611,6,2014,
246,PPW1348,UMBCAL,90,,,28.08411045,15,22.2874793,2,2014,
247,PPW1349,NOTDEN,70,,,8.226574523,3,455.3444027,1,2014,
248,PPW1349,PSEMEN,NA,,,1.548726638,4,1596.510263,3,2014,
249,PPW1349,QUEAGR,70,,,0,0,2526.657308,3,2014,
250,PPW1349,QUEKEL,10,,,0,0,6604.326762,1,2014,
251,PPW1349,UMBCAL,NA,,,14.27948109,8,0,0,2014,
252,PPW1350,AMOCAL,NA,,,205.1744317,58,0,0,2014,
253,PPW1350,FRACAL,NA,,,2.962993111,5,0,0,2014,
254,PPW1350,HETARB,50,,,23.6842314,5,267.5598644,18,2014,
255,PPW1350,PSEMEN,30,,,26.94968134,32,14088.89865,29,2014,
256,PPW1350,QUEAGR,NA,,,2.544690049,1,1513.929573,4,2014,
257,PPW1350,QUEGAR,10,,,0,0,571.4635577,2,2014,
258,PPW1350,QUEKEL,NA,,,0,0,1032.877125,3,2014,
259,PPW1350,UMBCAL,30,,,27.64381624,24,1.916371519,2,2014,
